catcherID,stand,balls,strikes,pitch_name,timesThrown,occurances,percentThrown
425784,L,0,0,4-Seam Fastball,4,26,15.3846
425784,L,0,0,Changeup,2,26,7.6923
425784,L,0,0,Curveball,3,26,11.5385
425784,L,0,0,Sinker,15,26,57.6923
425784,L,0,0,Slider,2,26,7.6923
425784,L,0,1,4-Seam Fastball,8,17,47.0588
425784,L,0,1,Changeup,1,17,5.8824
425784,L,0,1,Curveball,4,17,23.5294
425784,L,0,1,Sinker,4,17,23.5294
425784,L,0,2,4-Seam Fastball,6,13,46.1538
425784,L,0,2,Changeup,1,13,7.6923
425784,L,0,2,Curveball,1,13,7.6923
425784,L,0,2,Sinker,2,13,15.3846
425784,L,0,2,Slider,3,13,23.0769
425784,L,1,0,Curveball,2,4,50
425784,L,1,0,Sinker,2,4,50
425784,L,1,1,4-Seam Fastball,3,11,27.2727
425784,L,1,1,Changeup,1,11,9.0909
425784,L,1,1,Curveball,3,11,27.2727
425784,L,1,1,Sinker,2,11,18.1818
425784,L,1,1,Slider,2,11,18.1818
425784,L,1,2,4-Seam Fastball,5,10,50
425784,L,1,2,Changeup,1,10,10
425784,L,1,2,Curveball,1,10,10
425784,L,1,2,Sinker,3,10,30
425784,L,2,1,Changeup,1,4,25
425784,L,2,1,Sinker,2,4,50
425784,L,2,1,Slider,1,4,25
425784,L,2,2,4-Seam Fastball,3,8,37.5
425784,L,2,2,Changeup,1,8,12.5
425784,L,2,2,Slider,4,8,50
425784,L,3,1,4-Seam Fastball,1,1,100
425784,L,3,2,4-Seam Fastball,2,5,40
425784,L,3,2,Sinker,1,5,20
425784,L,3,2,Slider,2,5,40
425784,R,0,0,4-Seam Fastball,14,27,51.8519
425784,R,0,0,Curveball,1,27,3.7037
425784,R,0,0,Sinker,7,27,25.9259
425784,R,0,0,Slider,5,27,18.5185
425784,R,0,1,4-Seam Fastball,3,14,21.4286
425784,R,0,1,Changeup,1,14,7.1429
425784,R,0,1,Sinker,6,14,42.8571
425784,R,0,1,Slider,4,14,28.5714
425784,R,0,2,4-Seam Fastball,5,12,41.6667
425784,R,0,2,Changeup,1,12,8.3333
425784,R,0,2,Sinker,2,12,16.6667
425784,R,0,2,Slider,4,12,33.3333
425784,R,1,0,4-Seam Fastball,2,7,28.5714
425784,R,1,0,Sinker,1,7,14.2857
425784,R,1,0,Slider,4,7,57.1429
425784,R,1,1,4-Seam Fastball,2,6,33.3333
425784,R,1,1,Sinker,2,6,33.3333
425784,R,1,1,Slider,2,6,33.3333
425784,R,1,2,4-Seam Fastball,4,16,25
425784,R,1,2,Changeup,2,16,12.5
425784,R,1,2,Curveball,1,16,6.25
425784,R,1,2,Sinker,4,16,25
425784,R,1,2,Slider,5,16,31.25
425784,R,2,0,4-Seam Fastball,1,2,50
425784,R,2,0,Sinker,1,2,50
425784,R,2,1,4-Seam Fastball,1,4,25
425784,R,2,1,Sinker,3,4,75
425784,R,2,2,Sinker,2,5,40
425784,R,2,2,Slider,3,5,60
425784,R,3,1,Sinker,2,2,100
425784,R,3,2,Sinker,5,6,83.3333
425784,R,3,2,Slider,1,6,16.6667
467092,L,0,0,4-Seam Fastball,42,192,21.875
467092,L,0,0,Changeup,39,192,20.3125
467092,L,0,0,Curveball,30,192,15.625
467092,L,0,0,Sinker,78,192,40.625
467092,L,0,0,Slider,3,192,1.5625
467092,L,0,1,4-Seam Fastball,34,102,33.3333
467092,L,0,1,Changeup,21,102,20.5882
467092,L,0,1,Curveball,13,102,12.7451
467092,L,0,1,Sinker,29,102,28.4314
467092,L,0,1,Slider,5,102,4.902
467092,L,0,2,4-Seam Fastball,27,64,42.1875
467092,L,0,2,Changeup,20,64,31.25
467092,L,0,2,Curveball,6,64,9.375
467092,L,0,2,Sinker,8,64,12.5
467092,L,0,2,Slider,3,64,4.6875
467092,L,1,0,4-Seam Fastball,13,64,20.3125
467092,L,1,0,Changeup,26,64,40.625
467092,L,1,0,Curveball,4,64,6.25
467092,L,1,0,Sinker,17,64,26.5625
467092,L,1,0,Slider,4,64,6.25
467092,L,1,1,4-Seam Fastball,20,72,27.7778
467092,L,1,1,Changeup,27,72,37.5
467092,L,1,1,Curveball,5,72,6.9444
467092,L,1,1,Sinker,16,72,22.2222
467092,L,1,1,Slider,4,72,5.5556
467092,L,1,2,4-Seam Fastball,32,81,39.50617284
467092,L,1,2,Changeup,25,81,30.8642
467092,L,1,2,Curveball,7,81,8.642
467092,L,1,2,Sinker,10,81,12.3457
467092,L,1,2,Slider,7,81,8.642
467092,L,2,0,4-Seam Fastball,3,19,15.7895
467092,L,2,0,Changeup,7,19,36.8421
467092,L,2,0,Sinker,9,19,47.3684
467092,L,2,1,4-Seam Fastball,6,24,25
467092,L,2,1,Changeup,10,24,41.6667
467092,L,2,1,Sinker,6,24,25
467092,L,2,1,Slider,2,24,8.3333
467092,L,2,2,4-Seam Fastball,14,44,31.8182
467092,L,2,2,Changeup,17,44,38.6364
467092,L,2,2,Curveball,5,44,11.3636
467092,L,2,2,Sinker,5,44,11.3636
467092,L,2,2,Slider,3,44,6.8182
467092,L,3,0,4-Seam Fastball,2,9,22.2222
467092,L,3,0,Sinker,7,9,77.7778
467092,L,3,1,4-Seam Fastball,6,13,46.1538
467092,L,3,1,Changeup,4,13,30.7692
467092,L,3,1,Sinker,3,13,23.0769
