game_date,player_name,batter,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,launch_speed,launch_angle,effective_speed,release_spin_rate,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,pitch_name,if_fielding_alignment,of_fielding_alignment
2019-09-24,Noah Syndergaard,623912,field_out,hit_into_play,4,R,R,NYM,MIA,X,6,ground_ball,0,0,null,595751,null,2,5,Top,68.4,-14,98.155,2167,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,40,1,Sinker,Standard,Standard
2019-09-24,Noah Syndergaard,656371,strikeout,swinging_strike,14,L,R,NYM,MIA,S,2,null,3,2,null,null,595751,1,5,Top,null,null,87.924,2196,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,39,7,Slider,Standard,Standard
2019-09-24,Noah Syndergaard,656371,null,ball,14,L,R,NYM,MIA,B,null,null,2,2,null,null,595751,1,5,Top,null,null,88.249,2196,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,39,6,Slider,Standard,Standard
2019-09-24,Noah Syndergaard,656371,null,foul,7,L,R,NYM,MIA,S,null,null,2,2,null,null,595751,1,5,Top,57.2,-21,91.373,1569,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,39,5,Changeup,Standard,Standard
2019-09-24,Noah Syndergaard,656371,null,ball,12,L,R,NYM,MIA,B,null,null,1,2,null,null,595751,1,5,Top,null,null,99.078,2229,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,39,4,4-Seam Fastball,Standard,Standard
2019-09-24,Noah Syndergaard,656371,null,foul,12,L,R,NYM,MIA,S,null,null,1,1,null,null,595751,1,5,Top,null,null,96.726,2160,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,39,3,4-Seam Fastball,Standard,Standard
2019-09-24,Noah Syndergaard,656371,null,foul,11,L,R,NYM,MIA,S,null,null,1,0,null,null,595751,1,5,Top,null,null,97.574,2142,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,39,2,4-Seam Fastball,Standard,Standard
2019-09-24,Noah Syndergaard,656371,null,ball,13,L,R,NYM,MIA,B,null,null,0,0,null,null,595751,1,5,Top,null,null,92.49,1631,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,39,1,Changeup,Standard,Standard
2019-09-24,Noah Syndergaard,595751,single,hit_into_play_score,4,R,R,NYM,MIA,X,8,ground_ball,0,1,435522,null,null,1,5,Top,86,-33,98.221,2133,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,38,2,Sinker,Strategic,Standard
2019-09-24,Noah Syndergaard,595751,null,foul,11,R,R,NYM,MIA,S,null,null,0,0,435522,null,null,1,5,Top,74.6,16,97.407,2024,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,38,1,Sinker,Strategic,Standard
2019-09-24,Noah Syndergaard,516770,field_out,hit_into_play,4,R,R,NYM,MIA,X,5,ground_ball,0,0,null,435522,null,0,5,Top,64.5,-43,98.194,2122,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,37,1,Sinker,Standard,Standard
2019-09-24,Noah Syndergaard,435522,double,hit_into_play_no_out,13,L,R,NYM,MIA,X,8,line_drive,2,2,null,null,null,0,5,Top,96.9,11,91.787,1576,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,36,6,Changeup,Standard,Standard
2019-09-24,Noah Syndergaard,435522,null,ball,14,L,R,NYM,MIA,B,null,null,1,2,null,null,null,0,5,Top,null,null,91.904,2201,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,36,5,Slider,Standard,Standard
2019-09-24,Noah Syndergaard,435522,null,foul,11,L,R,NYM,MIA,S,null,null,1,2,null,null,null,0,5,Top,75.9,76,79.456,2160,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,36,4,Curveball,Standard,Standard
2019-09-24,Noah Syndergaard,435522,null,ball,13,L,R,NYM,MIA,B,null,null,0,2,null,null,null,0,5,Top,null,null,90.976,1522,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,36,3,Changeup,Standard,Standard
2019-09-24,Noah Syndergaard,435522,null,swinging_strike,8,L,R,NYM,MIA,S,null,null,0,1,null,null,null,0,5,Top,null,null,90.953,1635,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,36,2,Changeup,Standard,Standard
2019-09-24,Noah Syndergaard,435522,null,swinging_strike,13,L,R,NYM,MIA,S,null,null,0,0,null,null,null,0,5,Top,null,null,91.663,1523,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,36,1,Changeup,Standard,Standard
2019-09-24,Noah Syndergaard,500743,field_out,hit_into_play,12,R,R,NYM,MIA,X,6,ground_ball,0,0,null,null,542932,2,4,Top,83.5,-24,97.254,2225,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,30,1,Sinker,Strategic,Standard
2019-09-24,Noah Syndergaard,542932,single,hit_into_play_no_out,4,R,R,NYM,MIA,X,6,ground_ball,2,0,null,null,null,2,4,Top,87.6,-9,96.325,2141,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,29,3,Sinker,Standard,Standard
2019-09-24,Noah Syndergaard,542932,null,ball,14,R,R,NYM,MIA,B,null,null,1,0,null,null,null,2,4,Top,null,null,81.635,2361,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,29,2,Curveball,Standard,Standard
2019-09-24,Noah Syndergaard,542932,null,ball,11,R,R,NYM,MIA,B,null,null,0,0,null,null,null,2,4,Top,null,null,97.777,2168,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,29,1,Sinker,Standard,Standard
2019-09-24,Noah Syndergaard,645261,strikeout,swinging_strike,1,R,R,NYM,MIA,S,2,null,2,2,null,null,null,1,4,Top,null,null,98.087,2137,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,28,5,4-Seam Fastball,Standard,Strategic
2019-09-24,Noah Syndergaard,645261,null,swinging_strike,2,R,R,NYM,MIA,S,null,null,2,1,null,null,null,1,4,Top,null,null,97.075,2186,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,28,4,4-Seam Fastball,Standard,Standard
2019-09-24,Noah Syndergaard,645261,null,ball,14,R,R,NYM,MIA,B,null,null,1,1,null,null,null,1,4,Top,null,null,97.54,2142,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,28,3,Sinker,Standard,Standard
2019-09-24,Noah Syndergaard,645261,null,ball,14,R,R,NYM,MIA,B,null,null,0,1,null,null,null,1,4,Top,null,null,90.368,2239,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,28,2,Slider,Standard,Standard
2019-09-24,Noah Syndergaard,645261,null,called_strike,5,R,R,NYM,MIA,S,null,null,0,0,null,null,null,1,4,Top,null,null,96.607,2002,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,28,1,Sinker,Standard,Standard
2019-09-24,Noah Syndergaard,621573,field_out,hit_into_play,8,R,R,NYM,MIA,X,5,ground_ball,1,1,null,null,null,0,4,Top,98.1,-3,91.216,1573,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,27,3,Changeup,Standard,Standard
2019-09-24,Noah Syndergaard,621573,null,foul,7,R,R,NYM,MIA,S,null,null,1,0,null,null,null,0,4,Top,null,null,97.688,2252,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,27,2,Sinker,Standard,Standard
2019-09-24,Noah Syndergaard,621573,null,ball,14,R,R,NYM,MIA,B,null,null,0,0,null,null,null,0,4,Top,null,null,90.13,2222,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,27,1,Slider,Standard,Standard
2019-09-24,Noah Syndergaard,623912,field_out,hit_into_play,11,R,R,NYM,MIA,X,5,popup,0,0,null,null,656371,2,3,Top,44.1,57,96.9,2054,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,23,1,Sinker,Standard,Standard
2019-09-24,Noah Syndergaard,656371,single,hit_into_play_score,4,L,R,NYM,MIA,X,9,ground_ball,2,0,435522,null,null,2,3,Top,92.9,-3,92.237,1599,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,22,3,Changeup,Standard,Standard
2019-09-24,Noah Syndergaard,656371,null,ball,13,L,R,NYM,MIA,B,null,null,1,0,435522,null,null,2,3,Top,null,null,94.12,1687,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,22,2,Changeup,Standard,Standard
2019-09-24,Noah Syndergaard,656371,null,ball,14,L,R,NYM,MIA,B,null,null,0,0,435522,null,null,2,3,Top,null,null,91.103,2232,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,22,1,Slider,Standard,Standard
2019-09-24,Noah Syndergaard,595751,strikeout,swinging_strike,5,R,R,NYM,MIA,S,2,null,1,2,435522,null,null,1,3,Top,null,null,99.271,2275,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,21,4,4-Seam Fastball,Strategic,Standard
2019-09-24,Noah Syndergaard,595751,null,foul,4,R,R,NYM,MIA,S,null,null,1,1,435522,null,null,1,3,Top,77.7,-52,96.936,2027,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,21,3,Sinker,Strategic,Standard
2019-09-24,Noah Syndergaard,595751,null,foul,13,R,R,NYM,MIA,S,null,null,1,0,435522,null,null,1,3,Top,74.7,-24,98.611,2178,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,21,2,Sinker,Strategic,Standard
2019-09-24,Noah Syndergaard,595751,null,ball,14,R,R,NYM,MIA,B,null,null,0,0,435522,null,null,1,3,Top,null,null,90.217,2280,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,21,1,Slider,Strategic,Standard
2019-09-24,Noah Syndergaard,516770,field_out,hit_into_play,4,R,R,NYM,MIA,X,3,ground_ball,2,0,null,435522,null,0,3,Top,69.9,-1,98.17,2080,566065,592789,621512,624413,429664,643446,642708,605204,607043,624424,20,3,Sinker,Standard,Standard
